#./munderdamped_3d_gle --dev=0 --amp=8.0 --omega=5.0 --force=0.0 --mass=1.0 --Dg=0.0001 --tau=0.1 --block=1 --paths=1 --periods=100.0 --trans=80 --samples=1 --spp=100 --algorithm=predcorr --pav=1 --mode=trajectory --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 >> temp/traj-f0.0-D0.0001-m1.0-a8.0-w5.0-t0.1-t1e2.dat
#t <x> <v> <x^2> <v^2> qnu(q) mu_q Dx Gx EBx
1.025542e+02 -1.398836e+01 -2.160374e+00 1.956741e+02 4.667215e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.025667e+02 -1.401576e+01 -2.201512e+00 1.964416e+02 4.846657e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.025793e+02 -1.404364e+01 -2.234756e+00 1.972238e+02 4.994134e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.025919e+02 -1.407187e+01 -2.257757e+00 1.980174e+02 5.097466e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.026044e+02 -1.410030e+01 -2.268298e+00 1.988186e+02 5.145176e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.026170e+02 -1.412878e+01 -2.263854e+00 1.996225e+02 5.125034e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.026296e+02 -1.415710e+01 -2.243152e+00 2.004235e+02 5.031729e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.026421e+02 -1.418505e+01 -2.204686e+00 2.012156e+02 4.860640e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.026547e+02 -1.421240e+01 -2.148156e+00 2.019922e+02 4.614573e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.026673e+02 -1.423892e+01 -2.073810e+00 2.027469e+02 4.300688e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.026798e+02 -1.426440e+01 -1.981560e+00 2.034732e+02 3.926580e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.026924e+02 -1.428862e+01 -1.872751e+00 2.041646e+02 3.507197e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
