#./double_munderdamped_3d --dev=1 --amp=250.0 --omega=1 --mass=1.0 --force=0 --Dg=0.01 --block=256 --paths=1024 --periods=1000 --trans=100 --samples=10000 --spp=10000 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=s:-1:3:300:1 --domainy=s:-1:2:100:1 --domainz=a:-1:2.5:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=5.0 --zeta=0.2 --comp=0 --mean=1.0 --second=0.1 --skew=0.99 --distribution=s>> 1D_double_s:-1:3:300:1_250.0_5.0_0.99_1.0_1.0.dat
#s <<v>> <<v^2>> qnu(q) mu_q Dx Gx Gv EBx EBv
7.134004e+00 1.236051e-05 2.105628e+01 6.141896e-01 4.297935e-01 3.420188e-05 2.349528e+01 1.093753e-01 5.642293e-04 8.238077e+01
7.356423e+00 1.538558e-05 2.169228e+01 3.490470e-01 1.447951e+00 1.152243e-04 4.426180e+01 9.234278e-02 4.899363e-04 1.047649e+02
7.585776e+00 4.917350e-05 2.237799e+01 9.556915e-01 3.582538e+00 2.850893e-04 1.759958e+01 2.003555e-01 4.972177e-04 4.133405e+01
7.822280e+00 6.104995e-05 2.308977e+01 1.300892e+00 4.068824e+00 3.237867e-04 1.429314e+01 2.378253e-01 5.534798e-04 3.409230e+01
8.066157e+00 7.437143e-05 2.374990e+01 7.431381e-01 5.827692e+00 4.637530e-04 1.251696e+01 3.258137e-02 5.160114e-04 2.942397e+01
8.317638e+00 1.132794e-04 2.451594e+01 8.419904e-01 8.681241e+00 6.908312e-04 7.837270e+00 1.000790e-01 5.011867e-04 1.890790e+01
8.576959e+00 1.035321e-04 2.524268e+01 9.876665e-01 6.074163e+00 4.833666e-04 8.637668e+00 2.384409e-01 4.951408e-04 1.694891e+01
8.844365e+00 1.721425e-04 2.603828e+01 9.316625e-01 8.999888e+00 7.161883e-04 4.406086e+00 2.665635e-01 5.155390e-04 9.116217e+00
9.120108e+00 1.797880e-04 2.681264e+01 1.286674e+00 1.081312e+01 8.604810e-04 5.095123e+00 1.276906e-01 5.887427e-04 9.887838e+00
9.404449e+00 2.330706e-04 2.766628e+01 9.442704e-01 1.417549e+01 1.128050e-03 2.933205e+00 1.110845e-01 5.241300e-04 7.580943e+00
